"Name","Domain","Phone","Emails","Website"
"New Hope Lodge","newhopelodge.com","+1 215-862-2737","newhopelodgepa@gmail.com, newhopelodgepa@gmail.com","https://newhopelodge.com/"
"East Shore Lodging","eastshorelodging.com","+1 570-226-3293","","http://www.eastshorelodging.com/"
"Penns Woods Inn","pennswoodsinn.com","+1 717-665-2755","","http://www.pennswoodsinn.com/"
"Wyndham Lancaster Resort and Convention Center","wyndhamhotels.com","+1 717-299-5500","accessibility@wyndham.com","https://www.wyndhamhotels.com/wyndham/lancaster-pennsylvania/wyndham-lancaster-resort-and-convention-center/overview?CID=LC:46q62bu8edfbx3y:50550&iata=00093796"
"Hotel Warner","hotelwarner.com","+1 610-692-6920","sales@hotelwarner.com, gm@hotelwarner.com, sales@hotelwarner.com, reservations@hotelwarner.com, ngm@hotelwarner.com","http://www.hotelwarner.com/"
"Inn of the Dove -""Romantic Jacuzzi, Theme & Pool Suites"" Harrisburg-Hershey","innofthedovehotel.com","+1 717-540-5540","","http://innofthedovehotel.com/"
"Hampton Inn Matamoras/Milford","hilton.com","+1 570-491-5280","","https://www.hilton.com/en/hotels/scrmahx-hampton-matamoras-milford/?SEO_id=GMB-AMER-HX-SCRMAHX&y_source=1_MjA4MjE3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
"Traveler's Rest Hotel","sstrpgh.com","+1 412-623-9343","15203-1006info@sstrpgh.com, info@sstrpgh.com","http://www.sstrpgh.com/"
"The Sayre Mansion","sayremansion.com","+1 610-882-2100","innkeeper@sayremansion.com, forms@tambourine.com","http://sayremansion.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing"
"Inn At Tyler Hill","innattylerhill.com","+1 570-224-1131","emk6.8-6-copy-1140x640@2x.jpg, stay@innattylerhill.com, tennis-3-1-1140x640@2x.jpg, dance-studio-1140x640@2x.jpg, golf-swing-1140x640@2x.jpg, gym-1140x640@2x.jpg, weight-room-1140x640@2x.jpg","https://www.innattylerhill.com/"
"Golden Plough Inn at Peddler's Village","goldenploughinn.com","+1 215-794-4004","lodging@peddlersvillage.com","http://www.goldenploughinn.com/"
"Victorian Charm Inn","thevictoriancharminn.com","+1 570-265-4452","victoriancharminntowanda@gmail.com","http://www.thevictoriancharminn.com/"
"Hilltop Inn","hilltop-inn.hotels-pittsburgh.com","+1 412-922-0120","","http://hilltop-inn.hotels-pittsburgh.com/en/"
"The Ohiopyle Suites","ohiopylesuites.com","+1 724-329-8850","info@wwaraft.com","http://www.ohiopylesuites.com/"
"Mountain View Suites","mountainviewsuite.com","+1 570-249-7022","mountainviewsuites@gmail.comcancellation, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, mountainviewsuites@gmail.com, 8c4075d5481d476e945486754f783364@sentry.io, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com","http://www.mountainviewsuite.com/"
"The Lodge at Lykens Valley","lodgelykensvalley.com","+1 717-692-3421","","http://lodgelykensvalley.com/"
"Historic Hotel Bethlehem","hotelbethlehem.com","+1 833-247-5891","forms@tambourine.com, info@hotelbethlehem.com","https://www.hotelbethlehem.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing"
"Historic Smithton Inn","historicsmithtoninn.com","+1 717-733-6094","info@smithtoninn.com","https://www.historicsmithtoninn.com/?utm_source=google&utm_medium=GMB"
"Hazeltine Boutique Hotel","hazeltinehotel.com","+1 814-730-8708","","https://www.hazeltinehotel.com/"
"Wayne Hotel","waynehotel.com","+1 610-687-5000","","https://waynehotel.com/"
"Country View PA Bed & Breakfast","lancasterpabedbreakfast.com","+1 717-768-0936","","https://lancasterpabedbreakfast.com/"
"Bird-in-Hand Family Inn","bird-in-hand.com","+1 717-768-8271","travelersrest@bird-in-hand.com, onlinestore@bird-in-hand.com, smuckerfamily@bird-in-hand.com, analytics@improveandgrow.com, centralreservations@bird-in-hand.com, countryacres@bird-in-hand.com, centralreservations@bird-in-hand.com, artisanvillage@bird-in-hand.com, groupsales@bird-in-hand.com","https://bird-in-hand.com/bird-in-hand-family-inn/?utm_source=google&utm_medium=organic&utm_campaign=gmb"
"Heritage Hotel - Lancaster","heritagelancaster.com","+1 800-223-8963","","http://www.heritagelancaster.com/"
"Wyndham Gettysburg Hotel & Conference Center","gatewaygettysburg.com","+1 717-339-0020","","https://www.gatewaygettysburg.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing"
"Chestnut Hill Hotel","chestnuthillhotel.com","+1 215-242-5905","","http://chestnuthillhotel.com/"
"New Hope Inn & Suites","newhopeinnandsuites.com","+1 215-862-5221","sales@newhopeinnandsuites.com, frontdesk@newhopeinnandsuites.com","https://www.newhopeinnandsuites.com/"
"The Historic Fallon Hotel","est1856.com","+1 570-300-5213","","http://est1856.com/"
"Brandywine River Hotel","brandywineriverhotelpa.com","+1 610-388-1200","","https://brandywineriverhotelpa.com/"
"Hampton Inn & Suites Williamsport-Faxon Exit","hilton.com","+1 570-601-5800","","https://www.hilton.com/en/hotels/ipttshx-hampton-suites-williamsport-faxon-exit/?SEO_id=GMB-AMER-HX-IPTTSHX&y_source=1_MjA4NDc3MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
"Lincoln Hotel Philadelphia","lincolnhotelphilly.com","+1 215-639-4600","","http://www.lincolnhotelphilly.com/"
"Hotel Rock Lititz","hotelrocklititz.com","+1 717-925-7625","guestservices@hotelrocklititz.com","https://www.hotelrocklititz.com/"
"The Radnor Hotel","radnorhotel.com","+1 610-688-5800","","https://radnorhotel.com/"
"The Inn at Villanova University","theinnatvillanova.com","+1 610-519-8000","","https://theinnatvillanova.com/"
"Ramada by Wyndham Beaver Falls","wyndhamhotels.com","+1 724-846-3700","accessibility@wyndham.com","https://www.wyndhamhotels.com/ramada/beaver-falls-pennsylvania/ramada-beaver-falls-pa/overview?CID=LC:wmcic5n98gs1g0r:54268&iata=00093796"
"Genetti Hotel, SureStay Collection by Best Western","bestwestern.com","+1 570-326-6600","","https://www.bestwestern.com/en_US/book/hotel-rooms.55001.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:55001"
"Lafayette Inn","lafayetteinn.com","+1 610-253-4500","","https://lafayetteinn.com/"
"100 Mile View Camping","100mileviewcamping.com","+1 610-554-4951","","https://100mileviewcamping.com/"
"Renaissance Allentown Hotel","marriott.com","+1 484-273-4000","","https://www.marriott.com/en-us/hotels/abebr-renaissance-allentown-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0"
"Williamsport Grandview Hotel","grandview-hotels.com","+1 570-327-3081","williamsportgrandview@gmail.com, lhgrandviewhotel@gmail.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com","https://www.grandview-hotels.com/williamsport"
"Hotel Dushore","hoteldushore.com","+1 570-928-8939","frontdesk@hoteldushore.com","https://hoteldushore.com/"
"La Reserve Bed & Breakfast","lareservebandb.com","+1 215-735-1137","","http://lareservebandb.com/"
"Harbor Inn","harborinnphilipsburg.us","+1 814-342-0250","","http://www.harborinnphilipsburg.us/"
"Exton Hotel & Conference Center At Exton","extonhotels.com","+1 610-363-1100","","https://www.extonhotels.com/"
"Comfort Inn - Pocono Mountains","choicehotels.com","+1 570-783-8626","","https://www.choicehotels.com/pennsylvania/white-haven/comfort-inn-hotels/pa292?mc=llgoxxpx"
"Red Lion Hotel Harrisburg Hershey","sonesta.com","+1 717-939-7841","","https://www.sonesta.com/red-lion-hotels/pa/harrisburg/red-lion-hotel-harrisburg-hershey?utm_source=google&utm_medium=organic&utm_campaign=gmb"
"Eisenhower Hotel & Conference Center","eisenhower.com","+1 717-334-8121","sales@eisenhowercomplex.comget, sales@eisenhowercomplex.comcopyright","http://www.eisenhower.com/"
"Inn at Lebanon - Hershey/Manheim Area","innatlebanon.com","+1 717-273-6771","fd.innatlebanon@gmail.com","http://www.innatlebanon.com/"
"The Darby","thedarbyhotel.com","+1 845-252-8080","awardshello@wheatleighhotel.comfind","https://thedarbyhotel.com/"
"Mill Stream Inn","millstreaminn.com","+1 814-274-9900","info@indiantypefoundry.com, donna@millstreaminn.com, gbuchsen@millstreaminn.com","https://www.millstreaminn.com/"
"Lancaster Arts Hotel","lancasterartshotel.com","+1 717-299-3000","","https://www.lancasterartshotel.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=gmb"
"Scottish Inns & Suites Harrisburg - Hershey North","stayhihotels.com","+1 717-545-6944","","https://www.stayhihotels.com/property/scottish-inns-suites-harrisburg-pa/?utm_source=Google&utm_medium=referral&utm_campaign=MyBusiness"
"Ramada New Hope","ramada.com","+1 215-862-5221","accessibility@wyndham.com","http://www.ramada.com/hotels/pennsylvania/new-hope/ramada-new-hope/hotel-overview?WID=LC:RA:20150901:Rio:Local"
"Pocono Inn & Banquet","poconoinnsuites.com","+1 570-424-0337","poconoinn101@gmail.com","http://poconoinnsuites.com/"
"Selinsgrove Inn","selinsgroveinn.com","+1 570-374-4100","","http://www.selinsgroveinn.com/"
"Stardust Motel","stardustmotelduncannon.top","+1 717-623-5125","","https://www.stardustmotelduncannon.top/"
"Hotel West & Main Conshohocken Philadelphia, Tapestry by Hilton","hilton.com","+1 610-825-1190","","https://www.hilton.com/en/hotels/phlcoup-hotel-west-and-main-conshohocken-philadelphia/?SEO_id=GMB-AMER-UP-PHLCOUP&y_source=1_MzU0ODcyMjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
"Cramer Family Mountain Inn (and gift shop)","cfmountaininn.com","+1 814-380-7569","reservations@cfmountaininn.com, flags@2x.png","http://www.cfmountaininn.com/"
"Country Inn & Suites by Radisson, Carlisle, PA","choicehotels.com","+1 717-706-6997","","https://www.choicehotels.com/pennsylvania/carlisle/country-inn-suites-hotels/pa992?mc=llgoxxpx"
"Country Inn & Suites by Radisson, Lehighton-Jim Thorpe, PA","choicehotels.com","+1 610-826-4344","","https://www.choicehotels.com/pennsylvania/lehighton/country-inn-suites-hotels/pa977?mc=llgoxxpx"
"Days Inn by Wyndham Scranton PA","wyndhamhotels.com","+1 570-483-8991","accessibility@wyndham.com","https://www.wyndhamhotels.com/days-inn/scranton-pennsylvania/days-inn-scranton-pa/overview?CID=LC:iqv0j1dklijly45:06680&iata=00093796"
"Sheraton Great Valley Hotel","marriott.com","+1 610-524-5500","","https://www.marriott.com/en-us/hotels/phlvs-sheraton-great-valley-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0"
"Penn's View Hotel","pennsviewhotel.com","+1 215-922-7600","reservations@pennsviewhotel.com","https://www.pennsviewhotel.com/"
"Best Western Plus Clearfield","bestwestern.com","+1 814-768-1049","","https://www.bestwestern.com/en_US/book/hotel-rooms.39130.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:39130"
"Westgate Inn","westgateinn.co","+1 814-274-0400","","https://www.westgateinn.co/"
"The Penn Stroud, Stroudsburg - Poconos, Ascend Hotel Collection","choicehotels.com","+1 570-421-2200","","https://www.choicehotels.com/pennsylvania/stroudsburg/ascend-hotels/pa605?mc=llgoxxpx"
"Rest Stop 6 Inn","reststop6.com","+1 814-723-5313","","http://reststop6.com/"
"Holiday Inn Lancaster by IHG","ihg.com","+1 717-394-0900","","https://www.ihg.com/holidayinn/hotels/us/en/lancaster/lnsch/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-LNSCH"
"Hilton Philadelphia at Penn's Landing","hilton.com","+1 215-521-6500","","https://www.hilton.com/en/hotels/phlpnhh-hilton-philadelphia-at-penns-landing/?SEO_id=GMB-AMER-HH-PHLPNHH&y_source=1_MjMyNDk3MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
"Best Western Plus Revere Inn & Suites","bestwestern.com","+1 717-687-7683","","https://www.bestwestern.com/en_US/book/hotel-rooms.39020.html?iata=00171880&ssob=BLBWI0004G&cid=BLBWI0004G:google:gmb:39020"
"Colton Point Motel","colton-point-motel.mydirectstay.com","+1 570-724-2155","cpmotel@gmail.com, 705-6720ecpmotel@gmail.comlearn","http://colton-point-motel.mydirectstay.com/"
"Radisson Hotel Philadelphia Northeast","choicehotels.com","+1 267-520-6692","","https://www.choicehotels.com/pennsylvania/trevose/radisson-hotels/pa990?mc=llgoxxpx"
"Crowne Plaza Suites Pittsburgh South, an IHG Hotel","ihg.com","+1 412-833-5300","","https://www.ihg.com/crowneplaza/hotels/us/en/pittsburgh/pitso/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-US-_-PITSO"
"Days Inn by Wyndham Philadelphia - Roosevelt Boulevard","wyndhamhotels.com","+1 215-289-9200","accessibility@wyndham.com","https://www.wyndhamhotels.com/days-inn/philadelphia-pennsylvania/days-inn-philadelphia-roosevelt-boulevard/overview?CID=LC:iqv0j1dklijly45:06203&iata=00093796"
